#iterations: 72711
#========================================================
#               x[1]                y[2]           Charge[3]        Potential[4]
       0.0000000e+00       0.0000000e+00       0.0000000e+00       0.0000000e+00
       0.0000000e+00       7.8740157e-03       0.0000000e+00       0.0000000e+00
       0.0000000e+00       1.5748031e-02       0.0000000e+00       0.0000000e+00
       0.0000000e+00       2.3622047e-02       0.0000000e+00       0.0000000e+00
       0.0000000e+00       3.1496063e-02       0.0000000e+00       0.0000000e+00
       0.0000000e+00       3.9370079e-02       0.0000000e+00       0.0000000e+00
       0.0000000e+00       4.7244094e-02       0.0000000e+00       0.0000000e+00
       0.0000000e+00       5.5118110e-02       0.0000000e+00       0.0000000e+00
       0.0000000e+00       6.2992126e-02       0.0000000e+00       0.0000000e+00
       0.0000000e+00       7.0866142e-02       0.0000000e+00       0.0000000e+00
       0.0000000e+00       7.8740157e-02       0.0000000e+00       0.0000000e+00
       0.0000000e+00       8.6614173e-02       0.0000000e+00       0.0000000e+00
       0.0000000e+00       9.4488189e-02       0.0000000e+00       0.0000000e+00
       0.0000000e+00       1.0236220e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       1.1023622e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       1.1811024e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       1.2598425e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       1.3385827e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       1.4173228e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       1.4960630e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       1.5748031e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       1.6535433e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       1.7322835e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       1.8110236e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       1.8897638e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       1.9685039e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       2.0472441e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       2.1259843e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       2.2047244e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       2.2834646e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       2.3622047e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       2.4409449e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       2.5196850e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       2.5984252e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       2.6771654e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       2.7559055e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       2.8346457e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       2.9133858e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       2.9921260e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       3.0708661e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       3.1496063e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       3.2283465e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       3.3070866e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       3.3858268e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       3.4645669e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       3.5433071e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       3.6220472e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       3.7007874e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       3.7795276e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       3.8582677e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       3.9370079e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       4.0157480e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       4.0944882e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       4.1732283e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       4.2519685e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       4.3307087e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       4.4094488e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       4.4881890e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       4.5669291e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       4.6456693e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       4.7244094e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       4.8031496e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       4.8818898e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       4.9606299e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       5.0393701e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       5.1181102e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       5.1968504e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       5.2755906e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       5.3543307e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       5.4330709e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       5.5118110e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       5.5905512e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       5.6692913e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       5.7480315e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       5.8267717e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       5.9055118e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       5.9842520e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       6.0629921e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       6.1417323e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       6.2204724e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       6.2992126e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       6.3779528e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       6.4566929e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       6.5354331e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       6.6141732e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       6.6929134e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       6.7716535e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       6.8503937e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       6.9291339e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       7.0078740e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       7.0866142e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       7.1653543e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       7.2440945e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       7.3228346e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       7.4015748e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       7.4803150e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       7.5590551e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       7.6377953e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       7.7165354e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       7.7952756e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       7.8740157e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       7.9527559e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       8.0314961e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       8.1102362e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       8.1889764e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       8.2677165e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       8.3464567e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       8.4251969e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       8.5039370e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       8.5826772e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       8.6614173e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       8.7401575e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       8.8188976e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       8.8976378e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       8.9763780e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       9.0551181e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       9.1338583e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       9.2125984e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       9.2913386e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       9.3700787e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       9.4488189e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       9.5275591e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       9.6062992e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       9.6850394e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       9.7637795e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       9.8425197e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       9.9212598e-01       0.0000000e+00       0.0000000e+00
       0.0000000e+00       1.0000000e+00       0.0000000e+00       0.0000000e+00
       7.8740157e-03       0.0000000e+00       0.0000000e+00       0.0000000e+00
       7.8740157e-03       7.8740157e-03       0.0000000e+00      -1.3707002e-08
       7.8740157e-03       1.5748031e-02       0.0000000e+00      -2.7376166e-08
       7.8740157e-03       2.3622047e-02       0.0000000e+00      -4.0969890e-08
       7.8740157e-03       3.1496063e-02       0.0000000e+00      -5.4451047e-08
       7.8740157e-03       3.9370079e-02       0.0000000e+00      -6.7783210e-08
       7.8740157e-03       4.7244094e-02       0.0000000e+00      -8.0930878e-08
       7.8740157e-03       5.5118110e-02       0.0000000e+00      -9.3859689e-08
       7.8740157e-03       6.2992126e-02       0.0000000e+00      -1.0653661e-07
       7.8740157e-03       7.0866142e-02       0.0000000e+00      -1.1893015e-07
       7.8740157e-03       7.8740157e-02       0.0000000e+00      -1.3101049e-07
       7.8740157e-03       8.6614173e-02       0.0000000e+00      -1.4274966e-07
       7.8740157e-03       9.4488189e-02       0.0000000e+00      -1.5412168e-07
       7.8740157e-03       1.0236220e-01       0.0000000e+00      -1.6510265e-07
       7.8740157e-03       1.1023622e-01       0.0000000e+00      -1.7567088e-07
       7.8740157e-03       1.1811024e-01       0.0000000e+00      -1.8580690e-07
       7.8740157e-03       1.2598425e-01       0.0000000e+00      -1.9549359e-07
       7.8740157e-03       1.3385827e-01       0.0000000e+00      -2.0471615e-07
       7.8740157e-03       1.4173228e-01       0.0000000e+00      -2.1346214e-07
       7.8740157e-03       1.4960630e-01       0.0000000e+00      -2.2172145e-07
       7.8740157e-03       1.5748031e-01       0.0000000e+00      -2.2948631e-07
       7.8740157e-03       1.6535433e-01       0.0000000e+00      -2.3675119e-07
       7.8740157e-03       1.7322835e-01       0.0000000e+00      -2.4351279e-07
       7.8740157e-03       1.8110236e-01       0.0000000e+00      -2.4976994e-07
       7.8740157e-03       1.8897638e-01       0.0000000e+00      -2.5552349e-07
       7.8740157e-03       1.9685039e-01       0.0000000e+00      -2.6077626e-07
       7.8740157e-03       2.0472441e-01       0.0000000e+00      -2.6553288e-07
       7.8740157e-03       2.1259843e-01       0.0000000e+00      -2.6979969e-07
       7.8740157e-03       2.2047244e-01       0.0000000e+00      -2.7358461e-07
       7.8740157e-03       2.2834646e-01       0.0000000e+00      -2.7689704e-07
       7.8740157e-03       2.3622047e-01       0.0000000e+00      -2.7974766e-07
       7.8740157e-03       2.4409449e-01       0.0000000e+00      -2.8214836e-07
       7.8740157e-03       2.5196850e-01       0.0000000e+00      -2.8411208e-07
       7.8740157e-03       2.5984252e-01       0.0000000e+00      -2.8565265e-07
       7.8740157e-03       2.6771654e-01       0.0000000e+00      -2.8678470e-07
       7.8740157e-03       2.7559055e-01       0.0000000e+00      -2.8752353e-07
       7.8740157e-03       2.8346457e-01       0.0000000e+00      -2.8788495e-07
       7.8740157e-03       2.9133858e-01       0.0000000e+00      -2.8788519e-07
       7.8740157e-03       2.9921260e-01       0.0000000e+00      -2.8754078e-07
       7.8740157e-03       3.0708661e-01       0.0000000e+00      -2.8686844e-07
